Datetime,price
2021-01-13 2:30,1.22078
2021-01-13 3:00,1.22145
2021-01-13 3:30,1.22173
2021-01-13 4:00,1.22173
2021-01-13 4:30,1.22127
2021-01-13 5:00,1.22192
2021-01-13 5:30,1.22157
2021-01-13 6:00,1.22128
2021-01-13 6:30,1.22086
2021-01-13 7:00,1.22118
2021-01-13 7:30,1.2209
2021-01-13 8:00,1.22165
2021-01-13 8:30,1.2214
2021-01-13 9:00,1.22195
2021-01-13 9:30,1.22031
2021-01-13 10:00,1.21966
2021-01-13 10:30,1.21912
2021-01-13 11:00,1.21907
2021-01-13 11:30,1.21895
2021-01-13 12:00,1.21752
2021-01-13 12:30,1.21776
2021-01-13 13:00,1.21758
2021-01-13 13:30,1.21629
2021-01-13 14:00,1.2168
2021-01-13 14:30,1.21729
2021-01-13 15:00,1.21688
2021-01-13 15:30,1.21613
2021-01-13 16:00,1.21567
2021-01-13 16:30,1.21639
2021-01-13 17:00,1.21769
2021-01-13 17:30,1.21593
2021-01-13 18:00,1.21579
2021-01-13 18:30,1.21578
2021-01-13 19:00,1.21578
2021-01-13 19:30,1.21653
2021-01-13 20:00,1.21663
2021-01-13 20:30,1.21614
2021-01-13 21:00,1.21565
2021-01-13 21:30,1.2154
2021-01-13 22:00,1.21574
2021-01-13 22:30,1.21545
2021-01-13 23:00,1.2156
2021-01-13 23:30,1.21568
2021-01-14 0:00,1.21558
2021-01-14 0:30,1.21563
2021-01-14 1:00,1.21571
2021-01-14 1:30,1.2162
2021-01-14 2:00,1.21704
2021-01-14 2:30,1.21645
2021-01-14 3:00,1.21678
2021-01-14 3:30,1.2166
2021-01-14 4:00,1.21491
2021-01-14 4:30,1.21524
2021-01-14 5:00,1.2141
2021-01-14 5:30,1.21454
2021-01-14 6:00,1.21462
2021-01-14 6:30,1.21497
2021-01-14 7:00,1.21475
2021-01-14 7:30,1.21552
2021-01-14 8:00,1.21507
2021-01-14 8:30,1.21498
2021-01-14 9:00,1.21472
2021-01-14 9:30,1.21431
2021-01-14 10:00,1.21475
2021-01-14 10:30,1.21584
2021-01-14 11:00,1.2153
2021-01-14 11:30,1.21663
2021-01-14 12:00,1.21608
2021-01-14 12:30,1.21655
2021-01-14 13:00,1.2154
2021-01-14 13:30,1.21516
2021-01-14 14:00,1.21434
2021-01-14 14:30,1.21296
2021-01-14 15:00,1.21122
2021-01-14 15:30,1.21198
2021-01-14 16:00,1.2121
2021-01-14 16:30,1.21172
2021-01-14 17:00,1.21209
2021-01-14 17:30,1.21354
2021-01-14 18:00,1.21481
2021-01-14 18:30,1.21544
2021-01-14 19:00,1.21527
2021-01-14 19:30,1.21657
2021-01-14 20:00,1.21552
2021-01-14 20:30,1.21508
2021-01-14 21:00,1.21515
2021-01-14 21:30,1.2155
2021-01-14 22:00,1.21584
2021-01-14 22:30,1.21639
2021-01-14 23:00,1.21603
2021-01-14 23:30,1.2154
2021-01-15 0:00,1.21552
2021-01-15 0:30,1.21514
2021-01-15 1:00,1.21528
2021-01-15 1:30,1.21506
2021-01-15 2:00,1.21588
2021-01-15 2:30,1.21544
2021-01-15 3:00,1.21534
2021-01-15 3:30,1.21509
2021-01-15 4:00,1.21466
2021-01-15 4:30,1.21516
2021-01-15 5:00,1.21538
2021-01-15 5:30,1.21493
2021-01-15 6:00,1.21474
2021-01-15 6:30,1.21469
2021-01-15 7:00,1.21417
2021-01-15 7:30,1.21399
2021-01-15 8:00,1.21398
2021-01-15 8:30,1.21375
2021-01-15 9:00,1.21444
2021-01-15 9:30,1.21351
2021-01-15 10:00,1.21217
2021-01-15 10:30,1.21311
2021-01-15 11:00,1.21363
2021-01-15 11:30,1.21391
2021-01-15 12:00,1.21389
2021-01-15 12:30,1.21318
2021-01-15 13:00,1.21361
2021-01-15 13:30,1.21234
2021-01-15 14:00,1.21212
2021-01-15 14:30,1.21217
2021-01-15 15:00,1.21241
2021-01-15 15:30,1.21161
2021-01-15 16:00,1.21103
2021-01-15 16:30,1.20974
2021-01-15 17:00,1.20855
2021-01-15 17:30,1.20933
2021-01-15 18:00,1.20968
2021-01-15 18:30,1.20976
2021-01-15 19:00,1.2091
2021-01-15 19:30,1.20938
2021-01-15 20:00,1.2083
2021-01-15 20:30,1.20807
2021-01-15 21:00,1.20832
2021-01-15 21:30,1.20768
2021-01-15 22:00,1.20795
2021-01-15 22:30,1.20782
2021-01-15 23:00,1.20756
2021-01-15 23:30,1.20766
2021-01-18 0:00,1.20799
2021-01-18 0:30,1.20771
2021-01-18 1:00,1.20839
2021-01-18 1:30,1.20663
2021-01-18 2:00,1.20743
2021-01-18 2:30,1.20756
2021-01-18 3:00,1.20745
2021-01-18 3:30,1.20789
2021-01-18 4:00,1.20791
2021-01-18 4:30,1.20828
2021-01-18 5:00,1.20714
2021-01-18 5:30,1.20741
2021-01-18 6:00,1.20694
2021-01-18 6:30,1.20698
2021-01-18 7:00,1.20708
2021-01-18 7:30,1.20775
2021-01-18 8:00,1.20769
2021-01-18 8:30,1.20807
2021-01-18 9:00,1.20798
2021-01-18 9:30,1.20677
2021-01-18 10:00,1.20714
2021-01-18 10:30,1.20694
2021-01-18 11:00,1.207
2021-01-18 11:30,1.20622
2021-01-18 12:00,1.20614
2021-01-18 12:30,1.20672
2021-01-18 13:00,1.20715
2021-01-18 13:30,1.20653
2021-01-18 14:00,1.20601
2021-01-18 14:30,1.20562
2021-01-18 15:00,1.20651
2021-01-18 15:30,1.20659
2021-01-18 16:00,1.20653
2021-01-18 16:30,1.20717
2021-01-18 17:00,1.20695
2021-01-18 17:30,1.20747
2021-01-18 18:00,1.20772
2021-01-18 18:30,1.20766
2021-01-18 19:00,1.20715
2021-01-18 19:30,1.20749
2021-01-18 20:00,1.20739
2021-01-18 20:30,1.20739
2021-01-18 21:00,1.20795
2021-01-18 21:30,1.20789
2021-01-18 22:00,1.20799
2021-01-18 22:30,1.20763
2021-01-18 23:00,1.20764
2021-01-18 23:30,1.20757
2021-01-19 0:00,1.20745
2021-01-19 0:30,1.20763
2021-01-19 1:00,1.20758
2021-01-19 1:30,1.20777
2021-01-19 2:00,1.20822
2021-01-19 2:30,1.20864
2021-01-19 3:00,1.20915
2021-01-19 3:30,1.20932
2021-01-19 4:00,1.20954
2021-01-19 4:30,1.20944
2021-01-19 5:00,1.20962
2021-01-19 5:30,1.20969
2021-01-19 6:00,1.20939
2021-01-19 6:30,1.20953
2021-01-19 7:00,1.20953
2021-01-19 7:30,1.20969
2021-01-19 8:00,1.20943
2021-01-19 8:30,1.20979
2021-01-19 9:00,1.20904
2021-01-19 9:30,1.21042
2021-01-19 10:00,1.21163
2021-01-19 10:30,1.21094
2021-01-19 11:00,1.21141
2021-01-19 11:30,1.21183
2021-01-19 12:00,1.21273
2021-01-19 12:30,1.21283
2021-01-19 13:00,1.21315
2021-01-19 13:30,1.21272
2021-01-19 14:00,1.21294
2021-01-19 14:30,1.21259
2021-01-19 15:00,1.21307
2021-01-19 15:30,1.21359
2021-01-19 16:00,1.21406
2021-01-19 16:30,1.21263
2021-01-19 17:00,1.21239
2021-01-19 17:30,1.21282
2021-01-19 18:00,1.21194
2021-01-19 18:30,1.21248
2021-01-19 19:00,1.21207
2021-01-19 19:30,1.21212
2021-01-19 20:00,1.212
2021-01-19 20:30,1.21217
2021-01-19 21:00,1.21204
2021-01-19 21:30,1.21253
2021-01-19 22:00,1.2125
2021-01-19 22:30,1.21269
2021-01-19 23:00,1.21262
2021-01-19 23:30,1.21284
2021-01-20 0:00,1.21259
2021-01-20 0:30,1.21279
2021-01-20 1:00,1.21377
2021-01-20 1:30,1.21394
2021-01-20 2:00,1.21433
2021-01-20 2:30,1.21422
2021-01-20 3:00,1.21374
2021-01-20 3:30,1.2141
2021-01-20 4:00,1.21463
2021-01-20 4:30,1.21435
2021-01-20 5:00,1.21439
2021-01-20 5:30,1.21444
2021-01-20 6:00,1.21423
2021-01-20 6:30,1.21403
2021-01-20 7:00,1.21415
2021-01-20 7:30,1.21441
2021-01-20 8:00,1.21438
2021-01-20 8:30,1.21488
2021-01-20 9:00,1.21545
2021-01-20 9:30,1.21556
2021-01-20 10:00,1.21425
2021-01-20 10:30,1.21352
2021-01-20 11:00,1.21227
2021-01-20 11:30,1.21275
